Date,Close,High,Low,Open,Volume
2018-01-02,4.922530651092529,4.926234907237626,4.802770377943248,4.83437689051606,355616000
2018-01-03,5.246499538421631,5.276872071724263,5.031177549791746,5.039820025695842,914704000
2018-01-04,5.274156093597412,5.38428668271751,5.251932446899893,5.3277399216062165,583268000
2018-01-05,5.318849563598633,5.356135603489793,5.212175987069669,5.288971090438664,580124000
2018-01-08,5.481822490692139,5.555900982061129,5.39737255839111,5.442313899164735,881216000
2018-01-09,5.48034143447876,5.526764011442247,5.398854895983358,5.487255415261424,497000000
2018-01-10,5.523306846618652,5.526763836900809,5.333665496743862,5.387989697031971,582664000
2018-01-11,5.533184051513672,5.58726145673746,5.511700788622706,5.555901280923127,406032000
2018-01-12,5.506021976470947,5.555654749671344,5.46552573671378,5.521331639654908,359916000
2018-01-16,5.435153961181641,5.617881358656475,5.3507044795640475,5.532444232660265,702348000
2018-01-17,5.548986434936523,5.558863346319084,5.3558881311613,5.449720908703439,538408000
2018-01-18,5.5420732498168945,5.596397447654057,5.498613608959416,5.529726520095098,408632000
2018-01-19,5.682082176208496,5.706281108604967,5.605287537749139,5.632202609560371,609380000
2018-01-22,5.770484447479248,5.772212943175593,5.632451114182872,5.6899855299239634,550944000
2018-01-23,5.8993821144104,5.9220993533899335,5.8053020183139195,5.823821414464233,475228000
2018-01-24,5.822584629058838,5.938394272835507,5.767025521047098,5.902589462007986,579972000
2018-01-25,5.836165428161621,5.920121303638124,5.8213498239538755,5.876908457477814,409884000
2018-01-26,6.008521556854248,6.008768350136301,5.867031294612784,5.879871609972731,516356000
2018-01-29,6.095440864562988,6.126554246914878,5.941357538495678,5.993953241669754,455116000
2018-01-30,5.993460655212402,6.084824594355995,5.887034314269972,5.953705258700726,570832000
2018-01-31,6.069513320922852,6.155197693168776,6.0361778575351694,6.068772470050293,478576000
2018-02-01,5.938641548156738,6.096676409437072,5.878391007501542,5.889749623333987,519224000
2018-02-02,5.766285419464111,5.8761692122464035,5.70825742887083,5.8522170708127845,718464000
2018-02-05,5.2768731117248535,5.759125246137221,5.062044667389918,5.605288673745596,1165204000
2018-02-06,5.570223331451416,5.57318626405171,5.0373504296823395,5.0472278136425,1114800000
2018-02-07,5.649734973907471,5.802090300947284,5.597880113087888,5.66899568719736,802932000
2018-02-08,5.3711981773376465,5.808262016728006,5.370950913075161,5.775173819591477,1144000000
2018-02-09,5.7307281494140625,5.898886734378586,5.371199687913183,5.8830834821942375,1674604000
2018-02-12,5.6307220458984375,5.814684364116072,5.556643531879623,5.811720959806684,1093172000
2018-02-13,5.744309425354004,5.7904852159964895,5.5620756092920765,5.594423436273443,625524000
2018-02-14,5.96135950088501,5.990250334803967,5.692947725246007,5.704059548216401,744988000
2018-02-15,6.086798667907715,6.132974450475771,5.963828247581664,6.044573933257524,698900000
2018-02-16,6.021116733551025,6.1732248004750225,6.011980198829314,6.059637690216526,637656000
2018-02-20,6.150508880615234,6.219401918319818,6.039884208884206,6.04358846482193,686240000
