date,source_url,filing_type
2008-02-06,https://www.sec.gov/Archives/edgar/data/1045810/000119312508021771/d8k.htm,8-K
2008-02-13,https://www.sec.gov/Archives/edgar/data/1045810/000104581008000003/form8kq408pressrelease.htm,8-K
2008-03-27,https://www.sec.gov/Archives/edgar/data/1045810/000119312508066644/d8k.htm,8-K
2008-04-21,https://www.sec.gov/Archives/edgar/data/1045810/000119312508085676/d8k.htm,8-K
2008-05-08,https://www.sec.gov/Archives/edgar/data/1045810/000104581008000014/form8kq109pressrelease.htm,8-K
2008-07-02,https://www.sec.gov/Archives/edgar/data/1045810/000119312508145974/d8k.htm,8-K
2008-08-12,https://www.sec.gov/Archives/edgar/data/1045810/000104581008000018/q209form8k.htm,8-K
2008-09-08,https://www.sec.gov/Archives/edgar/data/1045810/000104581008000022/form8kbod.htm,8-K
2008-09-18,https://www.sec.gov/Archives/edgar/data/1045810/000119312508198086/d8k.htm,8-K
2008-09-22,https://www.sec.gov/Archives/edgar/data/1045810/000119312508199382/d8k.htm,8-K
2008-09-24,https://www.sec.gov/Archives/edgar/data/1045810/000119312508200658/d8k.htm,8-K
2008-10-16,https://www.sec.gov/Archives/edgar/data/1045810/000104581008000025/form8k.htm,8-K
2008-11-06,https://www.sec.gov/Archives/edgar/data/1045810/000104581008000027/q309form8k.htm,8-K
2008-11-10,https://www.sec.gov/Archives/edgar/data/1045810/000104581008000028/derivativecase.htm,8-K
2009-01-16,https://www.sec.gov/Archives/edgar/data/1045810/000104581009000002/boddeparture.htm,8-K
2009-02-10,https://www.sec.gov/Archives/edgar/data/1045810/000104581009000005/form8k.htm,8-K
2009-02-11,https://www.sec.gov/Archives/edgar/data/1045810/000104581009000007/from8k.htm,8-K
2009-02-19,https://www.sec.gov/Archives/edgar/data/1045810/000119312509033113/d8k.htm,8-K
2009-02-27,https://www.sec.gov/Archives/edgar/data/1045810/000119312509040147/d8k.htm,8-K
2009-04-08,https://www.sec.gov/Archives/edgar/data/1045810/000119312509075632/d8k.htm,8-K
2009-05-07,https://www.sec.gov/Archives/edgar/data/1045810/000104581009000015/form8-k.htm,8-K
2009-08-06,https://www.sec.gov/Archives/edgar/data/1045810/000104581009000021/form8k.htm,8-K
2009-11-05,https://www.sec.gov/Archives/edgar/data/1045810/000104581009000031/form8k.htm,8-K
2010-02-17,https://www.sec.gov/Archives/edgar/data/1045810/000104581010000002/form8k.htm,8-K
2010-05-05,https://www.sec.gov/Archives/edgar/data/1045810/000104581010000010/form8k.htm,8-K
2010-05-13,https://www.sec.gov/Archives/edgar/data/1045810/000104581010000015/q111form8k.htm,8-K
2010-08-12,https://www.sec.gov/Archives/edgar/data/1045810/000104581010000022/q211form8k.htm,8-K
2010-08-13,https://www.sec.gov/Archives/edgar/data/1045810/000104581010000024/form8k.htm,8-K
2010-08-24,https://www.sec.gov/Archives/edgar/data/1045810/000110465910045738/a10-16321_18k.htm,8-K
2010-09-13,https://www.sec.gov/Archives/edgar/data/1045810/000104581010000033/form8-k.htm,8-K
2010-11-12,https://www.sec.gov/Archives/edgar/data/1045810/000104581010000038/q311form8k.htm,8-K
2011-01-10,https://www.sec.gov/Archives/edgar/data/1045810/000119312511005134/d8k.htm,8-K
2011-02-16,https://www.sec.gov/Archives/edgar/data/1045810/000104581011000006/form8k.htm,8-K
