date,source_url,filing_type
2015-11-03,https://www.sec.gov/Archives/edgar/data/1318605/000119312515364285/d50904d8k.htm,8-K
2015-11-04,https://www.sec.gov/Archives/edgar/data/1318605/000119312515364590/d93830d8k.htm,8-K
2016-01-04,https://www.sec.gov/Archives/edgar/data/1318605/000119312516418701/d106308d8k.htm,8-K
2016-02-10,https://www.sec.gov/Archives/edgar/data/1318605/000119312516457674/d124215d8k.htm,8-K
2016-03-11,https://www.sec.gov/Archives/edgar/data/1318605/000156459016014593/tsla-8k_20160309.htm,8-K
2016-04-04,https://www.sec.gov/Archives/edgar/data/1318605/000156459016015857/tsla-8k_20160404.htm,8-K
2016-05-04,https://www.sec.gov/Archives/edgar/data/1318605/000119312516577582/d158845d8k.htm,8-K
2016-05-24,https://www.sec.gov/Archives/edgar/data/1318605/000119312516600683/d82775d8k.htm,8-K
2016-05-25,https://www.sec.gov/Archives/edgar/data/1318605/000119312516602294/d199662d8k.htm,8-K
2016-06-03,https://www.sec.gov/Archives/edgar/data/1318605/000156459016020278/tsla-8k_20160531.htm,8-K
2016-06-21,https://www.sec.gov/Archives/edgar/data/1318605/000119312516627915/d185582d8k.htm,8-K
2016-07-05,https://www.sec.gov/Archives/edgar/data/1318605/000156459016021035/tsla-8k_20160703.htm,8-K
2016-08-01,https://www.sec.gov/Archives/edgar/data/1318605/000119312516665620/d200129d8k.htm,8-K
2016-08-03,https://www.sec.gov/Archives/edgar/data/1318605/000119312516670068/d234162d8k.htm,8-K
2016-08-05,https://www.sec.gov/Archives/edgar/data/1318605/000156459016022836/tsla-8k_20160805.htm,8-K
2016-09-07,https://www.sec.gov/Archives/edgar/data/1318605/000156459016024985/tsla-8k_20160831.htm,8-K
2016-09-23,https://www.sec.gov/Archives/edgar/data/1318605/000156459016025408/tsla-8k_20160923.htm,8-K
2016-10-03,https://www.sec.gov/Archives/edgar/data/1318605/000156459016025573/tsla-8k_20161002.htm,8-K
2016-10-11,https://www.sec.gov/Archives/edgar/data/1318605/000119312516735804/d253219d8k.htm,8-K
2016-10-26,https://www.sec.gov/Archives/edgar/data/1318605/000119312516747973/d273228d8k.htm,8-K
2016-11-14,https://www.sec.gov/Archives/edgar/data/1318605/000119312516767059/d293055d8k.htm,8-K
2016-11-18,https://www.sec.gov/Archives/edgar/data/1318605/000119312516772291/d297885d8k.htm,8-K
2016-11-21,https://www.sec.gov/Archives/edgar/data/1318605/000119312516773705/d292845d8k.htm,8-K
2016-12-20,https://www.sec.gov/Archives/edgar/data/1318605/000156459016030359/tsla-8k_20161215.htm,8-K
2017-01-03,https://www.sec.gov/Archives/edgar/data/1318605/000156459017000024/tsla-8k_20170103.htm,8-K
2017-02-01,https://www.sec.gov/Archives/edgar/data/1318605/000156459017000802/tsla-8k_20170201.htm,8-K
2017-02-22,https://www.sec.gov/Archives/edgar/data/1318605/000119312517052093/d322970d8k.htm,8-K
2017-02-24,https://www.sec.gov/Archives/edgar/data/1318605/000156459017002397/tsla-8k_20170221.htm,8-K
2017-03-15,https://www.sec.gov/Archives/edgar/data/1318605/000119312517083740/d535695d8k.htm,8-K
2017-03-17,https://www.sec.gov/Archives/edgar/data/1318605/000119312517087428/d349232d8k.htm,8-K
2017-03-22,https://www.sec.gov/Archives/edgar/data/1318605/000119312517092269/d341621d8k.htm,8-K
2017-03-30,https://www.sec.gov/Archives/edgar/data/1318605/000119312517104210/d370699d8k.htm,8-K
2017-04-03,https://www.sec.gov/Archives/edgar/data/1318605/000156459017005875/tsla-8k_20170403.htm,8-K
2017-05-03,https://www.sec.gov/Archives/edgar/data/1318605/000156459017008395/tsla-8k_20170503.htm,8-K
2017-06-01,https://www.sec.gov/Archives/edgar/data/1318605/000156459017011982/tsla-8k_20170531.htm,8-K
2017-06-08,https://www.sec.gov/Archives/edgar/data/1318605/000156459017012264/tsla-8k_20170609.htm,8-K
2017-06-23,https://www.sec.gov/Archives/edgar/data/1318605/000156459017012932/tsla-8k_20170619.htm,8-K
2017-06-29,https://www.sec.gov/Archives/edgar/data/1318605/000156459017013123/tsla-8k_20170629.htm,8-K
2017-07-03,https://www.sec.gov/Archives/edgar/data/1318605/000156459017013176/tsla-8k_20170703.htm,8-K
2017-07-07,https://www.sec.gov/Archives/edgar/data/1318605/000156459017013276/tsla-8k_20170707.htm,8-K
2017-07-17,https://www.sec.gov/Archives/edgar/data/1318605/000156459017013548/tsla-8k_20170717.htm,8-K
2017-08-02,https://www.sec.gov/Archives/edgar/data/1318605/000156459017014920/tsla-8k_20170802.htm,8-K
2017-08-11,https://www.sec.gov/Archives/edgar/data/1318605/000156459017017445/tsla-8k_20170807.htm,8-K
2017-08-23,https://www.sec.gov/Archives/edgar/data/1318605/000156459017017989/tsla-8k_20170817.htm,8-K
2017-10-02,https://www.sec.gov/Archives/edgar/data/1318605/000156459017019158/tsla-8k_20171002.htm,8-K
2017-10-20,https://www.sec.gov/Archives/edgar/data/1318605/000156459017019697/tsla-8k_20171018.htm,8-K
2017-11-01,https://www.sec.gov/Archives/edgar/data/1318605/000156459017020822/tsla-8k_20171101.htm,8-K
2018-01-03,https://www.sec.gov/Archives/edgar/data/1318605/000156459018000054/tsla-8k_20180103.htm,8-K
2018-01-23,https://www.sec.gov/Archives/edgar/data/1318605/000119312518016648/d500497d8k.htm,8-K
2018-02-07,https://www.sec.gov/Archives/edgar/data/1318605/000156459018001521/tsla-8k_20180207.htm,8-K
2018-02-08,https://www.sec.gov/Archives/edgar/data/1318605/000156459018001693/tsla-8k_20180202.htm,8-K
2018-02-09,https://www.sec.gov/Archives/edgar/data/1318605/000156459018001786/tsla-8k_20180209.htm,8-K
2018-03-08,https://www.sec.gov/Archives/edgar/data/1318605/000156459018004979/tsla-8k_20180307.htm,8-K
2018-03-21,https://www.sec.gov/Archives/edgar/data/1318605/000156459018006479/tsla-8k_20180321.htm,8-K
